,spoofed_synthethic_cyclegan_007,spoofed_synthethic_cyclegan_008,spoofed_synthethic_distancegan_007,spoofed_synthethic_distancegan_008,spoofed_synthethic_drit_007,spoofed_synthethic_drit_008,spoofed_synthethic_stargan-v2_007,spoofed_synthethic_stargan-v2_008
spoofed_synthethic_cyclegan_007,61,5,0,0,0,0,0,0
spoofed_synthethic_cyclegan_008,0,66,0,0,0,0,0,0
spoofed_synthethic_distancegan_007,0,0,63,3,0,0,0,0
spoofed_synthethic_distancegan_008,0,0,1,65,0,0,0,0
spoofed_synthethic_drit_007,0,0,0,0,66,0,0,0
spoofed_synthethic_drit_008,0,0,0,0,28,38,0,0
spoofed_synthethic_stargan-v2_007,0,0,0,0,0,0,65,1
spoofed_synthethic_stargan-v2_008,0,0,0,0,0,0,0,66
