,spoofed_synthethic_cyclegan_007,spoofed_synthethic_cyclegan_008,spoofed_synthethic_distancegan_007,spoofed_synthethic_distancegan_008,spoofed_synthethic_drit_007,spoofed_synthethic_drit_008,spoofed_synthethic_stargan-v2_007,spoofed_synthethic_stargan-v2_008
spoofed_synthethic_cyclegan_007,39,27,0,0,0,0,0,0
spoofed_synthethic_cyclegan_008,9,55,0,1,0,0,0,1
spoofed_synthethic_distancegan_007,0,0,51,15,0,0,0,0
spoofed_synthethic_distancegan_008,0,0,12,54,0,0,0,0
spoofed_synthethic_drit_007,0,0,0,0,58,8,0,0
spoofed_synthethic_drit_008,0,0,0,0,22,44,0,0
spoofed_synthethic_stargan-v2_007,0,0,0,0,0,0,65,1
spoofed_synthethic_stargan-v2_008,0,0,0,0,0,0,0,66
