,spoofed_synthethic_cyclegan_007,spoofed_synthethic_cyclegan_008,spoofed_synthethic_distancegan_007,spoofed_synthethic_distancegan_008,spoofed_synthethic_drit_007,spoofed_synthethic_drit_008,spoofed_synthethic_stargan-v2_007,spoofed_synthethic_stargan-v2_008
spoofed_synthethic_cyclegan_007,44,21,0,0,0,1,0,0
spoofed_synthethic_cyclegan_008,6,60,0,0,0,0,0,0
spoofed_synthethic_distancegan_007,0,0,50,16,0,0,0,0
spoofed_synthethic_distancegan_008,0,0,6,60,0,0,0,0
spoofed_synthethic_drit_007,0,0,0,0,35,31,0,0
spoofed_synthethic_drit_008,0,0,0,0,2,64,0,0
spoofed_synthethic_stargan-v2_007,0,0,0,0,0,0,66,0
spoofed_synthethic_stargan-v2_008,0,0,0,0,0,0,2,64
